#=====================================================
# File created:        Fri-08-Mar-2024-at-12-46-17PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.801594
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2532.4611  0.2674 
   00001    0.6872   -3653.4700  0.2733 
   00002    0.6364   -4402.1001  0.2811 
   00003    0.6048   -4921.8735  0.2870 
   00004    0.5596   -5321.9652  0.2807 
   00005    0.5544   -5656.7553  0.2827 
   00006    0.5120   -5919.8204  0.2862 
   00007    0.5132   -6147.4141  0.2903 
   00008    0.4968   -6316.5231  0.2929 
   00009    0.5096   -6531.4837  0.2937 
   00010    0.5068   -6655.4946  0.2866 
   00011    0.4876   -6794.5416  0.2922 
   00012    0.4752   -6894.5057  0.2912 
   00013    0.4548   -7037.9285  0.2864 
   00014    0.4584   -7141.1597  0.2888 
   00015    0.4772   -7190.5297  0.2902 
   00016    0.4660   -7303.8547  0.2907 
   00017    0.4564   -7395.9753  0.2925 
   00018    0.4504   -7454.7873  0.2929 
   00019    0.4504   -7543.3317  0.2934 
   00020    0.4288   -7580.2138  0.2974 
   00021    0.4572   -7590.7707  0.2975 
   00022    0.4404   -7659.0500  0.2968 
   00023    0.4512   -7669.6786  0.2922 
   00024    0.4440   -7678.5067  0.2924 
   00025    0.4176   -7724.2397  0.2967 
   00026    0.4356   -7730.2051  0.2932 
   00027    0.4340   -7811.0311  0.2925 
   00028    0.4280   -7824.5414  0.2922 
   00029    0.4336   -7849.9405  0.2874 
   00030    0.4376   -7912.5531  0.2900 
   00031    0.4428   -7925.0957  0.2984 
   00032    0.4268   -7907.7279  0.2919 
   00033    0.4232   -7899.0666  0.3007 
   00034    0.4324   -7947.8024  0.3032 
   00035    0.4132   -7920.3065  0.3026 
   00036    0.4300   -7930.4862  0.3108 
   00037    0.4284   -7969.1400  0.3075 
   00038    0.4268   -8031.2421  0.3065 
   00039    0.4512   -8035.7529  0.3068 
   00040    0.4392   -8017.7832  0.3103 
   00041    0.4308   -7995.9300  0.3063 
   00042    0.4244   -7999.8779  0.3016 
   00043    0.4252   -7974.2705  0.3028 
   00044    0.4232   -8019.6643  0.3027 
   00045    0.4240   -8001.8818  0.3039 
   00046    0.4268   -8029.8911  0.3077 
   00047    0.4272   -8028.5587  0.3040 
   00048    0.4144   -8066.7036  0.3010 
   00049    0.4152   -8080.3976  0.3040 
   00050    0.4372   -8082.3473  0.3102 
