#=====================================================
# File created:        Sat-02-Mar-2024-at-11-34-35PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.097374
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2478.2166  0.2531 
   00001    0.6644   -3722.2674  0.2655 
   00002    0.6268   -4467.7394  0.2803 
   00003    0.5844   -4966.8657  0.2758 
   00004    0.5512   -5479.1641  0.2799 
   00005    0.5508   -5814.8608  0.2772 
   00006    0.5244   -6120.9467  0.2811 
   00007    0.5232   -6345.5851  0.2774 
   00008    0.4956   -6483.4987  0.2868 
   00009    0.4980   -6684.4908  0.2928 
   00010    0.4864   -6891.6858  0.3004 
   00011    0.4564   -6975.2449  0.2967 
   00012    0.4808   -7053.8682  0.3057 
   00013    0.4836   -7161.8922  0.3118 
   00014    0.4716   -7180.4691  0.3074 
   00015    0.4572   -7221.7289  0.3172 
   00016    0.4748   -7296.1326  0.3244 
   00017    0.4420   -7396.8831  0.3184 
   00018    0.4644   -7488.1334  0.3280 
   00019    0.4580   -7534.9848  0.3320 
   00020    0.4332   -7594.3072  0.3282 
   00021    0.4496   -7630.9804  0.3276 
   00022    0.4420   -7705.1359  0.3222 
   00023    0.4544   -7715.1225  0.3163 
   00024    0.4536   -7736.7723  0.3200 
   00025    0.4300   -7799.2717  0.3170 
   00026    0.4332   -7796.3336  0.3148 
   00027    0.4368   -7842.0818  0.3183 
   00028    0.4508   -7826.6041  0.3192 
   00029    0.4316   -7867.7878  0.3224 
   00030    0.4364   -7855.0862  0.3221 
   00031    0.4368   -7919.4288  0.3293 
   00032    0.4424   -7922.8430  0.3233 
   00033    0.4320   -7883.5873  0.3281 
   00034    0.4324   -7941.2592  0.3247 
   00035    0.4108   -7961.7652  0.3280 
   00036    0.4188   -7987.7180  0.3369 
   00037    0.4200   -8029.7082  0.3387 
   00038    0.4244   -8048.9418  0.3378 
   00039    0.4304   -8033.3184  0.3410 
   00040    0.4388   -8087.6490  0.3352 
   00041    0.4408   -8072.7860  0.3331 
   00042    0.4316   -8069.3709  0.3344 
   00043    0.4336   -8045.7373  0.3349 
   00044    0.4344   -8053.8520  0.3395 
   00045    0.4264   -8074.7209  0.3315 
   00046    0.4204   -8059.8137  0.3325 
   00047    0.4168   -8084.1954  0.3342 
   00048    0.4292   -8062.6597  0.3308 
   00049    0.4232   -8060.4712  0.3386 
   00050    0.4348   -8029.9823  0.3404 
