#=====================================================
# File created:        Sun-03-Mar-2024-at-01-04-39PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.849932
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2440.8629  0.2707 
   00001    0.6752   -3720.2044  0.2640 
   00002    0.6088   -4509.0440  0.2532 
   00003    0.5836   -5150.7707  0.2556 
   00004    0.5548   -5507.2240  0.2647 
   00005    0.5508   -5845.2658  0.2669 
   00006    0.5092   -6085.4831  0.2631 
   00007    0.5016   -6338.7631  0.2729 
   00008    0.4900   -6447.3685  0.2739 
   00009    0.4796   -6589.6423  0.2740 
   00010    0.4900   -6764.8873  0.2705 
   00011    0.4800   -6913.6931  0.2666 
   00012    0.4680   -7021.5581  0.2740 
   00013    0.4540   -7132.7061  0.2808 
   00014    0.4764   -7194.4953  0.2792 
   00015    0.4544   -7263.5426  0.2768 
   00016    0.4752   -7366.8484  0.2745 
   00017    0.4476   -7456.2439  0.2742 
   00018    0.4520   -7521.4200  0.2849 
   00019    0.4476   -7573.0237  0.2851 
   00020    0.4348   -7661.7163  0.2883 
   00021    0.4548   -7729.2209  0.2932 
   00022    0.4372   -7735.6524  0.2928 
   00023    0.4536   -7730.6978  0.2941 
   00024    0.4476   -7765.6022  0.2988 
   00025    0.4320   -7818.3249  0.2972 
   00026    0.4400   -7839.6803  0.2905 
   00027    0.4308   -7887.1814  0.2932 
   00028    0.4368   -7878.8882  0.2995 
   00029    0.4172   -7871.4920  0.2982 
   00030    0.4488   -7885.7464  0.2948 
   00031    0.4256   -7946.9900  0.2978 
   00032    0.4348   -7966.4232  0.3049 
   00033    0.4168   -7958.0262  0.2999 
   00034    0.4332   -7977.6378  0.2858 
   00035    0.4312   -8016.0716  0.2900 
   00036    0.4152   -7956.1712  0.2854 
   00037    0.4352   -8014.8498  0.2847 
   00038    0.4300   -8034.0662  0.2886 
   00039    0.4376   -8025.8085  0.2932 
   00040    0.4408   -8041.7869  0.2924 
   00041    0.4112   -8049.4267  0.2903 
   00042    0.4392   -8001.5905  0.2875 
   00043    0.4116   -8003.8982  0.2840 
   00044    0.4424   -7994.8409  0.2899 
   00045    0.4280   -8016.9320  0.2805 
   00046    0.4452   -8048.9842  0.2778 
   00047    0.4316   -8097.2336  0.2771 
   00048    0.4236   -8121.7356  0.2791 
   00049    0.4112   -8081.9565  0.2822 
   00050    0.4360   -8081.1306  0.2819 
