#=====================================================
# File created:        Sun-03-Mar-2024-at-12-00-13AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.344192
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2558.2652  0.2661 
   00001    0.6832   -3787.8228  0.2588 
   00002    0.6220   -4551.1696  0.2673 
   00003    0.5664   -5129.1998  0.2663 
   00004    0.5428   -5533.4723  0.2729 
   00005    0.5400   -5862.5370  0.2857 
   00006    0.5332   -6151.9182  0.2936 
   00007    0.5144   -6388.1930  0.2996 
   00008    0.5016   -6517.5383  0.2936 
   00009    0.5148   -6638.7260  0.2962 
   00010    0.4808   -6758.0635  0.2950 
   00011    0.4788   -6860.5844  0.2927 
   00012    0.4900   -6916.4022  0.2982 
   00013    0.4648   -7027.1666  0.2887 
   00014    0.4676   -7107.9135  0.2830 
   00015    0.4776   -7142.3483  0.2795 
   00016    0.4508   -7260.1456  0.2736 
   00017    0.4612   -7295.6491  0.2795 
   00018    0.4580   -7310.8285  0.2889 
   00019    0.4396   -7327.0402  0.2908 
   00020    0.4752   -7388.5915  0.2867 
   00021    0.4708   -7484.2034  0.2924 
   00022    0.4360   -7544.4111  0.2951 
   00023    0.4680   -7551.1280  0.3021 
   00024    0.4336   -7616.1810  0.3070 
   00025    0.4204   -7670.6375  0.3066 
   00026    0.4344   -7685.0545  0.3029 
   00027    0.4452   -7769.7307  0.2968 
   00028    0.4348   -7836.9659  0.3092 
   00029    0.4448   -7825.1355  0.3140 
   00030    0.4388   -7831.9003  0.3105 
   00031    0.4384   -7851.3723  0.3146 
   00032    0.4280   -7879.1864  0.3135 
   00033    0.4316   -7911.9615  0.3195 
   00034    0.4640   -7921.2168  0.3196 
   00035    0.4380   -7879.4672  0.3171 
   00036    0.4412   -7915.7615  0.3152 
   00037    0.4292   -7918.2224  0.3149 
   00038    0.4352   -7928.4767  0.3169 
   00039    0.4436   -7927.6932  0.3184 
   00040    0.4392   -7924.2894  0.3242 
   00041    0.4368   -7928.8151  0.3192 
   00042    0.4412   -7925.3715  0.3260 
   00043    0.4376   -7964.1856  0.3292 
   00044    0.4320   -7962.0104  0.3278 
   00045    0.4336   -7940.4599  0.3292 
   00046    0.4392   -7984.4586  0.3289 
   00047    0.4276   -8010.9066  0.3275 
   00048    0.4448   -7996.5730  0.3282 
   00049    0.4348   -7970.4600  0.3301 
   00050    0.4232   -7967.9719  0.3332 
