#=====================================================
# File created:        Thu-07-Mar-2024-at-10-30-05AM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.220097
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2435.1162  0.2751 
   00001    0.6880   -3641.5843  0.2551 
   00002    0.6312   -4440.7206  0.2597 
   00003    0.5920   -5038.8343  0.2691 
   00004    0.5696   -5458.8754  0.2792 
   00005    0.5544   -5787.1834  0.2871 
   00006    0.5164   -6062.7158  0.2897 
   00007    0.5080   -6348.9395  0.2855 
   00008    0.4960   -6506.3318  0.2807 
   00009    0.5000   -6650.5518  0.2760 
   00010    0.5040   -6846.2022  0.2753 
   00011    0.4784   -6993.8887  0.2756 
   00012    0.4736   -7091.7359  0.2755 
   00013    0.4492   -7185.2248  0.2812 
   00014    0.4604   -7241.0784  0.2768 
   00015    0.4468   -7298.3764  0.2730 
   00016    0.4444   -7376.2119  0.2705 
   00017    0.4568   -7455.2077  0.2697 
   00018    0.4516   -7481.8138  0.2858 
   00019    0.4492   -7525.1129  0.2865 
   00020    0.4700   -7551.4395  0.2828 
   00021    0.4532   -7627.0786  0.2900 
   00022    0.4628   -7667.2789  0.2876 
   00023    0.4536   -7704.3836  0.2939 
   00024    0.4344   -7785.1153  0.2933 
   00025    0.4368   -7847.5500  0.2935 
   00026    0.4508   -7870.1086  0.2955 
   00027    0.4340   -7874.8897  0.2935 
   00028    0.4368   -7930.7813  0.2963 
   00029    0.4368   -7954.1609  0.3016 
   00030    0.4360   -8002.9812  0.3125 
   00031    0.4224   -7983.4742  0.3182 
   00032    0.4360   -7986.4919  0.3192 
   00033    0.4256   -8035.5672  0.3232 
   00034    0.4224   -8043.0599  0.3187 
   00035    0.4212   -8051.9530  0.3229 
   00036    0.4356   -8099.4767  0.3268 
   00037    0.4272   -8119.6364  0.3278 
   00038    0.4368   -8129.7599  0.3238 
   00039    0.4312   -8068.6986  0.3188 
   00040    0.4160   -8106.7106  0.3167 
   00041    0.4452   -8145.1852  0.3131 
   00042    0.4248   -8109.4135  0.3109 
   00043    0.4280   -8146.0317  0.3096 
   00044    0.4096   -8137.9427  0.3111 
   00045    0.4260   -8149.3339  0.3087 
   00046    0.4156   -8162.8805  0.3067 
   00047    0.4240   -8127.3156  0.3108 
   00048    0.4144   -8186.1346  0.3162 
   00049    0.4360   -8196.0572  0.3200 
   00050    0.4384   -8205.7860  0.3227 
