#=====================================================
# File created:        Thu-07-Mar-2024-at-12-44-36PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.454684
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2518.6574  0.2639 
   00001    0.6936   -3726.1919  0.2702 
   00002    0.6264   -4520.9675  0.2630 
   00003    0.5916   -5076.2882  0.2540 
   00004    0.5504   -5478.8199  0.2619 
   00005    0.5264   -5892.9454  0.2541 
   00006    0.5336   -6226.3008  0.2562 
   00007    0.5032   -6430.9154  0.2564 
   00008    0.5060   -6638.8292  0.2615 
   00009    0.4712   -6840.8003  0.2618 
   00010    0.4644   -6982.7653  0.2626 
   00011    0.4712   -7089.3108  0.2652 
   00012    0.4500   -7156.6425  0.2738 
   00013    0.4784   -7238.6526  0.2710 
   00014    0.4648   -7329.5039  0.2666 
   00015    0.4520   -7455.3775  0.2695 
   00016    0.4428   -7537.5184  0.2715 
   00017    0.4484   -7569.6506  0.2696 
   00018    0.4408   -7635.0142  0.2714 
   00019    0.4360   -7682.2776  0.2726 
   00020    0.4500   -7743.9205  0.2746 
   00021    0.4516   -7747.2056  0.2760 
   00022    0.4344   -7784.9458  0.2804 
   00023    0.4464   -7771.0227  0.2690 
   00024    0.4452   -7776.5197  0.2629 
   00025    0.4420   -7821.7416  0.2675 
   00026    0.4472   -7876.1941  0.2682 
   00027    0.4368   -7853.1039  0.2677 
   00028    0.4444   -7866.6205  0.2734 
   00029    0.4512   -7903.9449  0.2764 
   00030    0.4452   -7966.2858  0.2803 
   00031    0.4232   -7973.4520  0.2806 
   00032    0.4152   -7968.3047  0.2743 
   00033    0.4452   -7942.2127  0.2718 
   00034    0.4260   -7963.4336  0.2729 
   00035    0.4200   -7930.2536  0.2851 
   00036    0.4308   -7926.9009  0.2822 
   00037    0.4376   -7985.9249  0.2817 
   00038    0.4268   -7992.0305  0.2802 
   00039    0.4304   -8009.3178  0.2801 
   00040    0.4328   -8027.3840  0.2814 
   00041    0.4148   -8019.6557  0.2841 
   00042    0.4452   -8028.9465  0.2868 
   00043    0.4308   -8006.2319  0.2847 
   00044    0.4404   -8008.6942  0.2824 
   00045    0.4172   -7975.5765  0.2872 
   00046    0.4140   -7958.0356  0.2872 
   00047    0.4404   -7966.2411  0.2953 
   00048    0.4280   -7990.9349  0.3002 
   00049    0.4364   -8019.4821  0.3052 
   00050    0.4308   -7989.8820  0.3073 
