#=====================================================
# File created:        Tue-12-Mar-2024-at-07-25-57PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.012460
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2475.9474  0.2669 
   00001    34.2000   -3690.7579  0.2680 
   00002    30.6000   -4543.2125  0.2637 
   00003    28.9000   -5066.4831  0.2570 
   00004    27.6000   -5536.9226  0.2601 
   00005    26.6800   -5822.9136  0.2661 
   00006    25.4000   -6109.7349  0.2566 
   00007    25.0000   -6395.7460  0.2662 
   00008    24.5400   -6610.3780  0.2746 
   00009    24.1600   -6757.0424  0.2835 
   00010    24.8600   -6939.8279  0.2963 
   00011    23.8800   -7027.3726  0.2985 
   00012    23.6800   -7135.0818  0.2945 
   00013    22.9000   -7260.7719  0.2960 
   00014    22.6600   -7373.0538  0.3017 
   00015    23.2000   -7412.0089  0.2983 
   00016    22.9400   -7445.0588  0.3042 
   00017    22.2400   -7502.0653  0.3036 
   00018    22.6200   -7573.3270  0.2967 
   00019    22.3400   -7536.6527  0.2922 
   00020    22.6800   -7600.1911  0.2884 
   00021    22.0400   -7642.1974  0.2847 
   00022    22.2800   -7606.5932  0.2891 
   00023    22.7200   -7707.4589  0.2894 
   00024    22.8000   -7747.0620  0.3026 
   00025    21.1000   -7764.1171  0.2980 
   00026    21.8800   -7771.3072  0.3001 
   00027    21.7800   -7804.3715  0.3066 
   00028    22.0000   -7802.4805  0.3068 
   00029    22.3200   -7864.0666  0.3085 
   00030    21.9200   -7894.9419  0.3128 
   00031    21.9600   -7936.2041  0.3112 
   00032    21.3200   -7936.3777  0.3084 
   00033    21.7800   -7946.1240  0.3167 
   00034    22.2600   -7989.7226  0.3227 
   00035    21.4200   -7987.4785  0.3246 
   00036    21.1800   -8043.6508  0.3311 
   00037    20.7200   -8067.6220  0.3334 
   00038    21.2800   -8059.4261  0.3350 
   00039    20.9200   -8026.5965  0.3402 
   00040    21.0000   -8083.9723  0.3464 
   00041    20.8400   -8086.8197  0.3478 
   00042    21.1000   -8107.6112  0.3401 
   00043    21.3000   -8141.7664  0.3399 
   00044    21.2200   -8175.9544  0.3385 
   00045    21.1800   -8157.8046  0.3397 
   00046    21.1800   -8147.8744  0.3423 
   00047    20.0800   -8146.0456  0.3395 
   00048    20.6400   -8171.6859  0.3401 
   00049    21.7800   -8166.4426  0.3433 
   00050    21.4400   -8173.0364  0.3504 
