#=====================================================
# File created:        Wed-06-Mar-2024-at-04-47-43PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.033116
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2523.2799  0.2704 
   00001    0.6764   -3747.8061  0.2871 
   00002    0.6060   -4503.5322  0.2854 
   00003    0.5748   -5158.7730  0.2869 
   00004    0.5608   -5620.3954  0.2835 
   00005    0.5300   -5992.4619  0.2851 
   00006    0.5152   -6259.5944  0.2867 
   00007    0.5016   -6501.1306  0.2832 
   00008    0.5000   -6676.9061  0.2824 
   00009    0.4652   -6835.8121  0.2742 
   00010    0.4784   -6993.3861  0.2769 
   00011    0.4704   -7074.0523  0.2769 
   00012    0.4696   -7165.0449  0.2850 
   00013    0.4772   -7229.6287  0.2874 
   00014    0.4632   -7321.6903  0.2850 
   00015    0.4704   -7414.9439  0.2827 
   00016    0.4512   -7457.0299  0.2779 
   00017    0.4520   -7538.6561  0.2709 
   00018    0.4544   -7550.6198  0.2691 
   00019    0.4484   -7569.3172  0.2660 
   00020    0.4500   -7706.0836  0.2699 
   00021    0.4456   -7741.9902  0.2668 
   00022    0.4428   -7762.1011  0.2622 
   00023    0.4220   -7826.4140  0.2670 
   00024    0.4404   -7802.7735  0.2673 
   00025    0.4260   -7881.3795  0.2700 
   00026    0.4216   -7883.8719  0.2679 
   00027    0.4244   -7887.3870  0.2687 
   00028    0.4412   -7900.5001  0.2718 
   00029    0.4428   -7971.1024  0.2703 
   00030    0.4448   -7989.2421  0.2765 
   00031    0.4372   -7976.3739  0.2756 
   00032    0.4248   -7973.5391  0.2673 
   00033    0.4348   -7974.3383  0.2678 
   00034    0.4336   -8021.0922  0.2662 
   00035    0.4392   -8049.5229  0.2715 
   00036    0.4324   -8078.8207  0.2785 
   00037    0.4248   -8052.8810  0.2796 
   00038    0.4332   -8059.7805  0.2770 
   00039    0.4272   -8085.3190  0.2758 
   00040    0.4172   -8097.1751  0.2777 
   00041    0.4280   -8077.8774  0.2834 
   00042    0.4348   -8129.4568  0.2812 
   00043    0.4196   -8116.0259  0.2768 
   00044    0.4272   -8147.3042  0.2797 
   00045    0.4272   -8154.1565  0.2866 
   00046    0.4364   -8110.8573  0.2863 
   00047    0.4284   -8083.0260  0.2818 
   00048    0.4120   -8085.5608  0.2798 
   00049    0.4064   -8053.0525  0.2895 
   00050    0.4304   -8052.6409  0.2869 
