#=====================================================
# File created:        Mon-11-Mar-2024-at-03-15-28PM
# Size of lattice:     50x50
# Number of MC steps:  250
# Reduced temperature: 0.500
# Run time (s):        1.091843
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2540.8708  0.2568 
   00001    0.6820   -3792.0811  0.2806 
   00002    0.6208   -4547.7749  0.2892 
   00003    0.5848   -5045.1084  0.2949 
   00004    0.5524   -5513.2451  0.2937 
   00005    0.5328   -5848.7563  0.3029 
   00006    0.5228   -6129.2070  0.3045 
   00007    0.5000   -6298.8833  0.2957 
   00008    0.5132   -6506.7368  0.2979 
   00009    0.4808   -6639.8804  0.3052 
   00010    0.4932   -6809.9648  0.3077 
   00011    0.4824   -6885.9419  0.3148 
   00012    0.4808   -7056.9375  0.3127 
   00013    0.4664   -7142.7183  0.3158 
   00014    0.4684   -7191.6494  0.3156 
   00015    0.4756   -7323.3384  0.3301 
   00016    0.4592   -7407.1484  0.3288 
   00017    0.4480   -7467.8584  0.3274 
   00018    0.4460   -7539.9932  0.3295 
   00019    0.4504   -7515.4028  0.3358 
   00020    0.4388   -7548.3115  0.3381 
   00021    0.4428   -7611.5615  0.3445 
   00022    0.4620   -7643.2896  0.3481 
   00023    0.4460   -7656.8398  0.3435 
   00024    0.4424   -7687.3096  0.3387 
   00025    0.4276   -7767.9683  0.3322 
   00026    0.4388   -7799.4829  0.3352 
   00027    0.4200   -7745.4614  0.3386 
   00028    0.4284   -7772.1030  0.3388 
   00029    0.4464   -7766.9023  0.3331 
   00030    0.4524   -7772.8506  0.3307 
   00031    0.4352   -7810.4092  0.3356 
   00032    0.4360   -7835.7695  0.3310 
   00033    0.4608   -7875.5728  0.3295 
   00034    0.4348   -7866.2246  0.3309 
   00035    0.4364   -7912.1084  0.3348 
   00036    0.4560   -7895.0581  0.3476 
   00037    0.4340   -7913.5200  0.3448 
   00038    0.4420   -7879.6592  0.3431 
   00039    0.4320   -7856.4507  0.3467 
   00040    0.4396   -7877.0479  0.3510 
   00041    0.4344   -7895.7891  0.3544 
   00042    0.4428   -7968.6982  0.3529 
   00043    0.4200   -8006.6953  0.3468 
   00044    0.4372   -8004.7544  0.3511 
   00045    0.4188   -8084.1074  0.3495 
   00046    0.4212   -8051.1636  0.3448 
   00047    0.4372   -8066.3301  0.3393 
   00048    0.4208   -8068.2930  0.3420 
   00049    0.4308   -8080.3003  0.3493 
   00050    0.4296   -8057.1108  0.3516 
   00051    0.4440   -8043.6001  0.3511 
   00052    0.4324   -8061.7500  0.3522 
   00053    0.4152   -8060.3423  0.3513 
   00054    0.4224   -8057.5708  0.3462 
   00055    0.4104   -8056.7715  0.3626 
   00056    0.4316   -8092.9238  0.3637 
   00057    0.4252   -8086.4326  0.3602 
   00058    0.4164   -8116.9775  0.3547 
   00059    0.4472   -8111.9478  0.3509 
   00060    0.4124   -8113.2471  0.3487 
   00061    0.4260   -8139.7905  0.3537 
   00062    0.4168   -8143.9199  0.3548 
   00063    0.4160   -8192.7764  0.3567 
   00064    0.4128   -8170.9883  0.3603 
   00065    0.4276   -8182.2588  0.3562 
   00066    0.4092   -8172.4624  0.3647 
   00067    0.4524   -8196.4785  0.3624 
   00068    0.4124   -8276.2344  0.3624 
   00069    0.4264   -8274.0361  0.3649 
   00070    0.4152   -8237.0400  0.3625 
   00071    0.4176   -8199.5059  0.3626 
   00072    0.4260   -8215.2559  0.3592 
   00073    0.4268   -8233.0244  0.3598 
   00074    0.4304   -8264.5088  0.3600 
   00075    0.4064   -8235.0029  0.3609 
   00076    0.4336   -8214.6895  0.3618 
   00077    0.4164   -8221.0771  0.3598 
   00078    0.4304   -8202.2578  0.3611 
   00079    0.4200   -8204.9600  0.3619 
   00080    0.4272   -8216.9160  0.3578 
   00081    0.4212   -8193.1699  0.3560 
   00082    0.4380   -8222.6328  0.3584 
   00083    0.4324   -8194.7471  0.3631 
   00084    0.4348   -8175.1392  0.3598 
   00085    0.4224   -8150.6372  0.3556 
   00086    0.4332   -8171.5889  0.3496 
   00087    0.4252   -8180.3159  0.3567 
   00088    0.4100   -8229.9844  0.3563 
   00089    0.4220   -8258.9736  0.3602 
   00090    0.4252   -8300.6455  0.3615 
   00091    0.4268   -8281.2021  0.3579 
   00092    0.4068   -8304.4375  0.3518 
   00093    0.4148   -8297.3887  0.3525 
   00094    0.4072   -8327.1494  0.3583 
   00095    0.4108   -8243.0859  0.3600 
   00096    0.4312   -8236.8408  0.3600 
   00097    0.4208   -8231.5527  0.3538 
   00098    0.4196   -8190.5400  0.3553 
   00099    0.4144   -8232.3447  0.3518 
   00100    0.4396   -8270.0889  0.3525 
   00101    0.4200   -8263.1562  0.3620 
   00102    0.4180   -8314.2725  0.3599 
   00103    0.4028   -8345.5918  0.3585 
   00104    0.4092   -8318.8682  0.3611 
   00105    0.4092   -8286.9980  0.3645 
   00106    0.4004   -8333.3164  0.3613 
   00107    0.4064   -8311.4893  0.3664 
   00108    0.4236   -8262.5625  0.3625 
   00109    0.4064   -8236.2939  0.3618 
   00110    0.4320   -8235.3389  0.3610 
   00111    0.4172   -8217.3486  0.3634 
   00112    0.4232   -8232.8486  0.3592 
   00113    0.4112   -8197.7451  0.3615 
   00114    0.4200   -8230.7148  0.3563 
   00115    0.3968   -8235.3018  0.3588 
   00116    0.4252   -8237.6973  0.3599 
   00117    0.4096   -8195.8193  0.3572 
   00118    0.4248   -8201.0957  0.3521 
   00119    0.4020   -8194.7246  0.3600 
   00120    0.4172   -8234.8154  0.3638 
   00121    0.4412   -8221.8408  0.3628 
   00122    0.4248   -8284.6445  0.3618 
   00123    0.4364   -8263.5254  0.3614 
   00124    0.4224   -8275.0352  0.3653 
   00125    0.4084   -8273.5059  0.3626 
   00126    0.4312   -8259.4111  0.3589 
   00127    0.4160   -8233.8340  0.3550 
   00128    0.4100   -8238.9072  0.3572 
   00129    0.4156   -8231.0391  0.3604 
   00130    0.4364   -8215.8740  0.3602 
   00131    0.4172   -8218.1270  0.3559 
   00132    0.4460   -8252.5205  0.3527 
   00133    0.4200   -8289.9141  0.3564 
   00134    0.4372   -8251.8828  0.3484 
   00135    0.4152   -8264.7959  0.3493 
   00136    0.4140   -8293.3262  0.3479 
   00137    0.4256   -8254.1621  0.3513 
   00138    0.4152   -8272.5430  0.3584 
   00139    0.4364   -8253.3506  0.3538 
   00140    0.4284   -8271.9482  0.3533 
   00141    0.4356   -8286.0537  0.3474 
   00142    0.4108   -8326.9277  0.3528 
   00143    0.4316   -8315.2227  0.3525 
   00144    0.4168   -8313.5439  0.3595 
   00145    0.4192   -8310.6484  0.3637 
   00146    0.4168   -8320.4531  0.3635 
   00147    0.4264   -8279.0078  0.3715 
   00148    0.4248   -8225.4766  0.3759 
   00149    0.4268   -8254.9609  0.3786 
   00150    0.4072   -8300.4785  0.3828 
   00151    0.4064   -8293.6230  0.3797 
   00152    0.4144   -8313.0234  0.3842 
   00153    0.4308   -8342.5752  0.3837 
   00154    0.4252   -8347.2578  0.3880 
   00155    0.4116   -8380.4912  0.3875 
   00156    0.4436   -8382.1562  0.3954 
   00157    0.4108   -8410.1670  0.3931 
   00158    0.4132   -8373.3984  0.3961 
   00159    0.4080   -8377.2158  0.3969 
   00160    0.4052   -8389.7275  0.3928 
   00161    0.4172   -8384.1035  0.3858 
   00162    0.4068   -8390.5391  0.3872 
   00163    0.4064   -8419.2393  0.3870 
   00164    0.4148   -8351.2734  0.3838 
   00165    0.4192   -8359.3613  0.3902 
   00166    0.4192   -8315.5547  0.3871 
   00167    0.4200   -8307.1621  0.3949 
   00168    0.4276   -8331.1172  0.4030 
   00169    0.4068   -8358.0791  0.4016 
   00170    0.4268   -8415.4590  0.4029 
   00171    0.4228   -8431.8408  0.4083 
   00172    0.4152   -8396.9141  0.4055 
   00173    0.4128   -8378.7480  0.4017 
   00174    0.4220   -8405.5137  0.4037 
   00175    0.4104   -8405.9775  0.4062 
   00176    0.3976   -8391.9775  0.4119 
   00177    0.4124   -8406.5996  0.4123 
   00178    0.4316   -8443.2061  0.4087 
   00179    0.4184   -8465.0303  0.4044 
   00180    0.4100   -8470.2490  0.4070 
   00181    0.4184   -8446.1904  0.4116 
