#=====================================================
# File created:        Sat-09-Mar-2024-at-05-56-29PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.125674
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2420.4463  0.2672 
   00001    0.6752   -3639.1890  0.2525 
   00002    0.6268   -4441.2744  0.2597 
   00003    0.5884   -4911.2095  0.2690 
   00004    0.5844   -5320.1025  0.2680 
   00005    0.5468   -5748.5264  0.2685 
   00006    0.5332   -6014.0454  0.2704 
   00007    0.5224   -6237.3574  0.2709 
   00008    0.4920   -6397.2979  0.2790 
   00009    0.5028   -6602.9448  0.2760 
   00010    0.4892   -6768.3823  0.2932 
   00011    0.4856   -6912.0786  0.2885 
   00012    0.4688   -7021.8633  0.2896 
   00013    0.4616   -7057.7207  0.2884 
   00014    0.4572   -7164.2207  0.2929 
   00015    0.4592   -7258.0806  0.3015 
   00016    0.4584   -7306.6880  0.2982 
   00017    0.4632   -7338.5806  0.2998 
   00018    0.4512   -7406.6675  0.3099 
   00019    0.4608   -7441.3726  0.3135 
   00020    0.4760   -7482.9365  0.3105 
   00021    0.4636   -7542.3462  0.3123 
   00022    0.4352   -7574.8081  0.3047 
   00023    0.4504   -7652.5786  0.3081 
   00024    0.4332   -7732.5156  0.3023 
   00025    0.4480   -7801.7017  0.3111 
   00026    0.4544   -7865.9082  0.3185 
   00027    0.4244   -7867.0142  0.3193 
   00028    0.4464   -7876.9111  0.3246 
   00029    0.4512   -7933.3867  0.3246 
   00030    0.4312   -7942.0532  0.3218 
   00031    0.4512   -7977.7729  0.3137 
   00032    0.4504   -8009.4863  0.3088 
   00033    0.4284   -7985.7686  0.3060 
   00034    0.4248   -7980.8184  0.3111 
   00035    0.4436   -7993.2300  0.3165 
   00036    0.4328   -7919.0620  0.3069 
   00037    0.4204   -7919.4438  0.3127 
   00038    0.4260   -7959.9707  0.3171 
   00039    0.4316   -8007.2666  0.3144 
   00040    0.4516   -8031.1099  0.3203 
   00041    0.4408   -8074.6465  0.3229 
   00042    0.4352   -8090.6064  0.3240 
   00043    0.4280   -8085.1831  0.3267 
   00044    0.4232   -8103.7466  0.3293 
   00045    0.4356   -8129.8823  0.3256 
   00046    0.4332   -8142.2734  0.3293 
   00047    0.4160   -8154.3569  0.3257 
   00048    0.4248   -8146.0859  0.3302 
   00049    0.4332   -8155.5059  0.3352 
   00050    0.4308   -8116.5977  0.3388 
