#=====================================================
# File created:        Sat-09-Mar-2024-at-05-11-22PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 50.000
# Run time (s):        0.069750
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -102.5450  0.3629 
   00001    0.9900    -100.9120  0.3967 
   00002    0.9900    -104.7680  0.3058 
   00003    0.9500     -94.3275  0.3196 
   00004    1.0000     -91.8927  0.3090 
   00005    1.0000    -109.9060  0.3850 
   00006    1.0000    -100.3220  0.3332 
   00007    0.9900     -81.6042  0.3305 
   00008    0.9900     -84.9350  0.3554 
   00009    1.0000    -100.1543  0.3472 
   00010    0.9900    -125.0283  0.3011 
   00011    0.9800    -125.0095  0.3769 
   00012    1.0000    -102.7711  0.3404 
   00013    0.9600    -118.0317  0.2707 
   00014    1.0000     -86.5742  0.3151 
   00015    0.9700     -97.6703  0.3288 
   00016    0.9800     -87.7668  0.3294 
   00017    0.9900     -86.9981  0.3359 
   00018    0.9800     -81.6951  0.3485 
   00019    0.9800     -87.5395  0.3144 
   00020    0.9800    -110.5388  0.3104 
   00021    0.9900    -105.0011  0.2901 
   00022    1.0000     -99.9658  0.3380 
   00023    0.9800    -103.6789  0.4021 
   00024    0.9800     -93.3566  0.3583 
   00025    0.9900    -113.5344  0.3566 
   00026    1.0000    -127.2851  0.3400 
   00027    0.9900     -85.1757  0.2961 
   00028    1.0000     -90.8428  0.3046 
   00029    0.9900     -88.1238  0.2987 
   00030    1.0000     -84.4391  0.3272 
   00031    0.9900    -108.4704  0.2805 
   00032    0.9900    -105.3333  0.2880 
   00033    1.0000    -111.5089  0.3348 
   00034    1.0000     -73.8791  0.3074 
   00035    0.9800    -124.8355  0.2975 
   00036    1.0000     -95.5273  0.3242 
   00037    0.9800    -118.9278  0.2738 
   00038    0.9900    -113.2311  0.3674 
   00039    1.0000     -94.2866  0.3520 
   00040    0.9900     -94.5044  0.3303 
   00041    0.9800     -92.8895  0.2824 
   00042    0.9800    -118.2533  0.2579 
   00043    1.0000    -106.8338  0.3369 
   00044    0.9800    -120.8615  0.3159 
   00045    0.9900    -101.1228  0.2943 
   00046    1.0000    -105.3475  0.3195 
   00047    0.9800    -117.8528  0.2659 
   00048    1.0000    -115.9690  0.2974 
   00049    0.9900    -115.6703  0.3253 
   00050    0.9900    -125.7538  0.3867 
