#=====================================================
# File created:        Mon-11-Mar-2024-at-01-16-23PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        3.027540
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2460.8267  0.2609 
   00001    0.6896   -3682.8126  0.2570 
   00002    0.6192   -4460.0269  0.2604 
   00003    0.5952   -4937.8809  0.2602 
   00004    0.5488   -5362.9925  0.2607 
   00005    0.5440   -5794.1803  0.2663 
   00006    0.5228   -6131.3305  0.2672 
   00007    0.4964   -6377.7832  0.2751 
   00008    0.4868   -6619.7059  0.2728 
   00009    0.4828   -6752.8134  0.2773 
   00010    0.4716   -6895.2828  0.2784 
   00011    0.4728   -7009.0791  0.2779 
   00012    0.4768   -7112.9655  0.2711 
   00013    0.4756   -7219.5862  0.2677 
   00014    0.4588   -7351.7818  0.2660 
   00015    0.4588   -7462.5534  0.2746 
   00016    0.4432   -7470.9766  0.2841 
   00017    0.4640   -7554.7743  0.2899 
   00018    0.4472   -7580.7685  0.2941 
   00019    0.4500   -7542.4103  0.3032 
   00020    0.4600   -7610.1484  0.3146 
   00021    0.4472   -7619.4438  0.3233 
   00022    0.4660   -7671.6239  0.3285 
   00023    0.4096   -7732.1129  0.3265 
   00024    0.4428   -7750.8166  0.3295 
   00025    0.4380   -7777.5299  0.3319 
   00026    0.4500   -7808.5733  0.3285 
   00027    0.4392   -7803.6933  0.3357 
   00028    0.4460   -7811.0081  0.3336 
   00029    0.4316   -7829.6073  0.3418 
   00030    0.4268   -7854.8461  0.3488 
   00031    0.4408   -7868.5852  0.3482 
   00032    0.4320   -7940.4090  0.3488 
   00033    0.4364   -7961.2319  0.3560 
   00034    0.4336   -7932.1878  0.3545 
   00035    0.4340   -7937.0050  0.3518 
   00036    0.4396   -7953.7346  0.3547 
   00037    0.4336   -7966.3112  0.3541 
   00038    0.4320   -7989.0704  0.3559 
   00039    0.4372   -8015.3934  0.3568 
   00040    0.4316   -8040.7008  0.3542 
   00041    0.4364   -8034.6240  0.3560 
   00042    0.4292   -8001.7446  0.3508 
   00043    0.4332   -8010.5434  0.3524 
   00044    0.4168   -8028.6759  0.3520 
   00045    0.4220   -8083.3116  0.3542 
   00046    0.4300   -8070.2679  0.3611 
   00047    0.4372   -8063.9444  0.3599 
   00048    0.4388   -8075.8411  0.3596 
   00049    0.4204   -8054.3352  0.3584 
   00050    0.4248   -7996.8438  0.3562 
