#=====================================================
# File created:        Sat-09-Mar-2024-at-05-27-35PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.186977
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -107.9872  0.3320 
   00001    0.6200    -160.5507  0.3752 
   00002    0.6500    -185.1087  0.3950 
   00003    0.5600    -208.2827  0.4316 
   00004    0.6000    -220.3585  0.4996 
   00005    0.6000    -231.5676  0.5515 
   00006    0.5800    -243.0745  0.5705 
   00007    0.5500    -245.7343  0.6117 
   00008    0.5200    -250.3940  0.5714 
   00009    0.4500    -257.7293  0.5540 
   00010    0.6200    -260.5458  0.5456 
   00011    0.4500    -275.8005  0.5615 
   00012    0.5000    -284.4094  0.5758 
   00013    0.4400    -284.2911  0.6033 
   00014    0.4300    -291.3760  0.5838 
   00015    0.3600    -295.6636  0.5787 
   00016    0.5100    -294.9939  0.5908 
   00017    0.4700    -295.9217  0.6145 
   00018    0.4400    -298.6144  0.6090 
   00019    0.5100    -311.5191  0.6831 
   00020    0.3400    -311.2162  0.6949 
   00021    0.4900    -310.1468  0.7088 
   00022    0.4700    -313.9128  0.7096 
   00023    0.4800    -315.9289  0.7154 
   00024    0.4900    -312.4334  0.7328 
   00025    0.4800    -314.8460  0.7471 
   00026    0.3900    -321.5880  0.7416 
   00027    0.4700    -320.2640  0.7345 
   00028    0.4800    -323.0678  0.7134 
   00029    0.4500    -320.9086  0.7121 
   00030    0.4800    -324.1012  0.7429 
   00031    0.4100    -320.9573  0.7494 
   00032    0.4200    -318.9548  0.7468 
   00033    0.4000    -324.3546  0.7399 
   00034    0.3700    -332.5697  0.7740 
   00035    0.3800    -335.5081  0.7570 
   00036    0.3700    -333.4309  0.7658 
   00037    0.3400    -330.1137  0.7719 
   00038    0.4900    -327.6378  0.7589 
   00039    0.4700    -327.4610  0.7801 
   00040    0.4700    -328.9884  0.7854 
   00041    0.4200    -329.6921  0.7928 
   00042    0.5100    -318.9388  0.7765 
   00043    0.5500    -327.3027  0.7689 
   00044    0.4500    -324.9903  0.7823 
   00045    0.4300    -329.2890  0.7888 
   00046    0.4100    -324.6124  0.7869 
   00047    0.4000    -324.1367  0.7889 
   00048    0.5000    -329.5376  0.8404 
   00049    0.4100    -324.8090  0.8445 
   00050    0.4700    -331.6241  0.8519 
