#=====================================================
# File created:        Tue-12-Mar-2024-at-06-26-37PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.210952
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2404.5757  0.2579 
   00001    0.6848   -3519.5376  0.2618 
   00002    0.6304   -4399.7375  0.2730 
   00003    0.5904   -5005.4482  0.2709 
   00004    0.5556   -5371.6821  0.2756 
   00005    0.5548   -5708.4506  0.2750 
   00006    0.5220   -6037.0310  0.2858 
   00007    0.5036   -6267.4663  0.2861 
   00008    0.5168   -6489.9691  0.2776 
   00009    0.5100   -6661.2534  0.2738 
   00010    0.4884   -6801.4926  0.2736 
   00011    0.4828   -6975.2457  0.2758 
   00012    0.4724   -7063.0586  0.2806 
   00013    0.4508   -7157.4795  0.2798 
   00014    0.4692   -7235.0585  0.2857 
   00015    0.4604   -7343.2606  0.2849 
   00016    0.4608   -7354.9697  0.2840 
   00017    0.4544   -7464.3651  0.2980 
   00018    0.4620   -7519.9054  0.3002 
   00019    0.4496   -7572.6852  0.2995 
   00020    0.4500   -7596.7797  0.3005 
   00021    0.4516   -7641.8736  0.2953 
   00022    0.4648   -7656.5736  0.2955 
   00023    0.4408   -7728.8160  0.2926 
   00024    0.4400   -7734.2593  0.2847 
   00025    0.4412   -7769.5513  0.2791 
   00026    0.4288   -7847.7469  0.2794 
   00027    0.4224   -7835.6051  0.2799 
   00028    0.4260   -7900.3032  0.2764 
   00029    0.4384   -7911.5429  0.2781 
   00030    0.4072   -7955.9383  0.2723 
   00031    0.4464   -7940.8560  0.2773 
   00032    0.4400   -7965.8139  0.2744 
   00033    0.4380   -7990.6062  0.2731 
   00034    0.4144   -7941.6391  0.2703 
   00035    0.4284   -7977.6496  0.2697 
   00036    0.4332   -7982.3371  0.2834 
   00037    0.4352   -8008.5232  0.2811 
   00038    0.4376   -7992.6340  0.2780 
   00039    0.4556   -8010.5076  0.2790 
   00040    0.4216   -8015.9917  0.2873 
   00041    0.4264   -7994.8572  0.2837 
   00042    0.4084   -8001.8018  0.2776 
   00043    0.4232   -8030.4945  0.2777 
   00044    0.4160   -8045.0066  0.2722 
   00045    0.4416   -8049.3765  0.2649 
   00046    0.4040   -8020.3388  0.2620 
   00047    0.4536   -8052.3398  0.2715 
   00048    0.4248   -8034.5065  0.2688 
   00049    0.4288   -8050.8095  0.2796 
   00050    0.4504   -8065.5263  0.2790 
