#=====================================================
# File created:        Mon-11-Mar-2024-at-04-50-41PM
# Size of lattice:     75x75
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        2.725043
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -5613.4212  0.2621 
   00001    0.6796   -8431.1893  0.2590 
   00002    0.6245  -10106.2032  0.2707 
   00003    0.5972  -11429.4891  0.2615 
   00004    0.5554  -12454.7871  0.2665 
   00005    0.5486  -13203.1340  0.2718 
   00006    0.5188  -13792.3115  0.2735 
   00007    0.5086  -14387.6907  0.2756 
   00008    0.4876  -14811.5621  0.2791 
   00009    0.4873  -15195.0030  0.2801 
   00010    0.4807  -15600.3820  0.2853 
   00011    0.4798  -15846.0323  0.2839 
   00012    0.4713  -16147.4788  0.2791 
   00013    0.4697  -16304.4871  0.2761 
   00014    0.4620  -16477.1911  0.2762 
   00015    0.4544  -16654.2947  0.2779 
   00016    0.4485  -16763.9276  0.2826 
   00017    0.4540  -16853.8813  0.2868 
   00018    0.4539  -17039.5157  0.2862 
   00019    0.4352  -17155.0468  0.2834 
   00020    0.4423  -17292.1282  0.2840 
   00021    0.4359  -17337.1428  0.2827 
   00022    0.4523  -17415.7186  0.2810 
   00023    0.4508  -17539.8162  0.2851 
   00024    0.4389  -17492.2663  0.2893 
   00025    0.4284  -17497.5648  0.2879 
   00026    0.4359  -17542.2307  0.2916 
   00027    0.4322  -17611.3512  0.2854 
   00028    0.4352  -17660.6802  0.2806 
   00029    0.4212  -17680.2652  0.2762 
   00030    0.4313  -17766.8495  0.2754 
   00031    0.4309  -17778.1961  0.2779 
   00032    0.4352  -17822.4285  0.2763 
   00033    0.4332  -17856.9846  0.2776 
   00034    0.4350  -17897.2642  0.2774 
   00035    0.4290  -17836.5097  0.2789 
   00036    0.4400  -17864.2462  0.2806 
   00037    0.4379  -17881.7969  0.2789 
   00038    0.4462  -17900.9812  0.2787 
   00039    0.4464  -17965.1199  0.2807 
   00040    0.4279  -18030.6124  0.2830 
   00041    0.4368  -18108.8540  0.2818 
   00042    0.4290  -18192.0187  0.2810 
   00043    0.4332  -18189.7743  0.2820 
   00044    0.4245  -18270.9470  0.2839 
   00045    0.4226  -18246.4723  0.2859 
   00046    0.4210  -18269.1985  0.2899 
   00047    0.4315  -18256.0329  0.2939 
   00048    0.4341  -18265.2072  0.2965 
   00049    0.4194  -18219.1403  0.2938 
   00050    0.4332  -18233.7007  0.2943 
