#=====================================================
# File created:        Sat-09-Mar-2024-at-06-04-46PM
# Size of lattice:     10x10
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.006436
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -111.0023  0.3330 
   00001    0.6800    -139.1327  0.3481 
   00002    0.5800    -178.3596  0.4330 
   00003    0.6000    -195.5126  0.4392 
   00004    0.6000    -230.0211  0.4613 
   00005    0.5200    -245.9622  0.5068 
   00006    0.5200    -270.3293  0.5698 
   00007    0.4800    -273.2059  0.5643 
   00008    0.5000    -286.1700  0.6019 
   00009    0.4100    -298.3069  0.6723 
   00010    0.4400    -303.7453  0.7129 
   00011    0.5300    -318.1605  0.7580 
   00012    0.4900    -321.9136  0.7915 
   00013    0.4300    -326.8021  0.8011 
   00014    0.4400    -334.8421  0.8118 
   00015    0.4600    -337.2436  0.8255 
   00016    0.4100    -335.6134  0.8301 
   00017    0.4800    -340.8536  0.8384 
   00018    0.4600    -337.2656  0.8346 
   00019    0.4600    -330.3471  0.8264 
   00020    0.4900    -335.8793  0.8303 
   00021    0.4800    -339.2282  0.8389 
   00022    0.4000    -343.6823  0.8296 
   00023    0.4400    -337.3490  0.8287 
   00024    0.4300    -333.6068  0.8443 
   00025    0.4000    -333.1116  0.8452 
   00026    0.3400    -333.2394  0.8516 
   00027    0.4000    -330.9442  0.8539 
   00028    0.3700    -324.8823  0.8495 
   00029    0.4900    -329.9558  0.8647 
   00030    0.4800    -330.7600  0.8652 
   00031    0.4000    -331.6705  0.8628 
   00032    0.3900    -328.1343  0.8483 
   00033    0.4000    -317.1380  0.8437 
   00034    0.3900    -320.0433  0.8548 
   00035    0.4700    -333.8596  0.8689 
   00036    0.3800    -338.7158  0.8731 
   00037    0.4300    -343.8073  0.8784 
   00038    0.4500    -347.5630  0.8781 
   00039    0.4400    -344.4306  0.8922 
   00040    0.4300    -344.2206  0.8780 
   00041    0.3500    -340.3118  0.8756 
   00042    0.5000    -341.9443  0.8767 
   00043    0.3900    -349.6964  0.8851 
   00044    0.4600    -359.4246  0.9013 
   00045    0.3800    -351.9373  0.9086 
   00046    0.4400    -352.9739  0.9087 
   00047    0.2900    -340.8289  0.8815 
   00048    0.3600    -347.1369  0.8573 
   00049    0.3700    -346.1020  0.8484 
   00050    0.4100    -342.8588  0.8580 
