#=====================================================
# File created:        Mon-11-Mar-2024-at-03-19-02PM
# Size of lattice:     50x50
# Number of MC steps:  25
# Reduced temperature: 0.500
# Run time (s):        0.037763
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2532.5862  0.2726 
   00001    0.6872   -3759.0183  0.2790 
   00002    0.6188   -4677.3931  0.2703 
   00003    0.5844   -5207.2671  0.2714 
   00004    0.5608   -5618.1743  0.2878 
   00005    0.5476   -5967.9404  0.2941 
   00006    0.5176   -6167.3037  0.2998 
   00007    0.5016   -6426.5181  0.3074 
   00008    0.5024   -6631.7832  0.3127 
   00009    0.4784   -6803.4868  0.3118 
   00010    0.4792   -6914.8032  0.3194 
   00011    0.4648   -7040.0415  0.3173 
   00012    0.4732   -7170.5850  0.3171 
   00013    0.4524   -7252.2881  0.3212 
   00014    0.4520   -7354.4722  0.3292 
   00015    0.4508   -7446.7256  0.3304 
   00016    0.4444   -7449.3789  0.3316 
   00017    0.4528   -7498.8589  0.3344 
   00018    0.4440   -7522.1567  0.3419 
   00019    0.4432   -7593.8809  0.3438 
   00020    0.4456   -7635.9336  0.3529 
   00021    0.4396   -7660.3901  0.3623 
   00022    0.4372   -7728.3535  0.3800 
   00023    0.4340   -7705.6758  0.3762 
   00024    0.4536   -7731.6226  0.3794 
   00025    0.4436   -7786.4136  0.3849 
