#=====================================================
# File created:        Tue-12-Mar-2024-at-04-25-43PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.074702
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2476.6702  0.2758 
   00001    0.6800   -3732.8450  0.3041 
   00002    0.6204   -4561.2769  0.3173 
   00003    0.5732   -5140.4424  0.3328 
   00004    0.5528   -5613.1055  0.3377 
   00005    0.5328   -6040.0693  0.3478 
   00006    0.5176   -6309.5137  0.3590 
   00007    0.4996   -6558.4609  0.3609 
   00008    0.4936   -6730.3989  0.3663 
   00009    0.4844   -6870.2222  0.3727 
   00010    0.4556   -7002.2783  0.3808 
   00011    0.4676   -7095.1973  0.3894 
   00012    0.4588   -7257.6548  0.4004 
   00013    0.4788   -7379.3462  0.4059 
   00014    0.4348   -7440.8823  0.4058 
   00015    0.4616   -7560.5239  0.4109 
   00016    0.4576   -7604.7295  0.4204 
   00017    0.4668   -7679.6099  0.4183 
   00018    0.4380   -7681.2329  0.4245 
   00019    0.4272   -7710.9150  0.4209 
   00020    0.4360   -7780.7241  0.4294 
   00021    0.4292   -7770.5044  0.4325 
   00022    0.4148   -7794.3857  0.4303 
   00023    0.4432   -7856.0957  0.4371 
   00024    0.4564   -7834.4810  0.4387 
   00025    0.4392   -7844.8882  0.4430 
   00026    0.4388   -7848.7339  0.4449 
   00027    0.4368   -7865.0063  0.4513 
   00028    0.4216   -7935.5317  0.4595 
   00029    0.4356   -7989.0820  0.4570 
   00030    0.4176   -7974.2129  0.4543 
   00031    0.4364   -7977.2036  0.4559 
   00032    0.4320   -8019.5044  0.4504 
   00033    0.4292   -8020.4727  0.4478 
   00034    0.4328   -8084.5713  0.4553 
   00035    0.4400   -8057.9712  0.4550 
   00036    0.4228   -8120.8384  0.4619 
   00037    0.4144   -8104.2612  0.4595 
   00038    0.4316   -8104.6895  0.4571 
   00039    0.4292   -8150.9839  0.4635 
   00040    0.4236   -8109.4702  0.4652 
   00041    0.4340   -8120.3091  0.4716 
   00042    0.4296   -8103.4302  0.4691 
   00043    0.4208   -8106.3242  0.4707 
   00044    0.4300   -8131.1377  0.4770 
   00045    0.4232   -8129.6504  0.4761 
   00046    0.4268   -8148.0874  0.4758 
   00047    0.4168   -8143.2759  0.4785 
   00048    0.4240   -8106.2441  0.4763 
   00049    0.4268   -8094.3037  0.4745 
   00050    0.4008   -8104.4126  0.4717 
