#=====================================================
# File created:        Mon-11-Mar-2024-at-05-19-55PM
# Size of lattice:     100x100
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.631336
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -10096.5646  0.2574 
   00001    0.6821  -15090.8662  0.2653 
   00002    0.6253  -18030.1488  0.2659 
   00003    0.5912  -20319.6256  0.2692 
   00004    0.5584  -22064.0543  0.2717 
   00005    0.5326  -23352.2796  0.2778 
   00006    0.5234  -24560.9783  0.2797 
   00007    0.5137  -25459.1054  0.2776 
   00008    0.4906  -26222.0252  0.2735 
   00009    0.4937  -26902.4013  0.2749 
   00010    0.4882  -27466.4641  0.2780 
   00011    0.4817  -27948.9182  0.2773 
   00012    0.4740  -28338.2387  0.2791 
   00013    0.4603  -28785.7037  0.2808 
   00014    0.4680  -29279.0057  0.2822 
   00015    0.4558  -29488.1984  0.2840 
   00016    0.4579  -29610.1515  0.2850 
   00017    0.4494  -29842.8117  0.2851 
   00018    0.4560  -30007.1468  0.2833 
   00019    0.4494  -30347.1599  0.2889 
   00020    0.4466  -30462.0068  0.2897 
   00021    0.4356  -30568.9643  0.2889 
   00022    0.4344  -30841.4169  0.2900 
   00023    0.4488  -30958.5271  0.2942 
   00024    0.4459  -31095.6105  0.2986 
   00025    0.4436  -31213.9859  0.2972 
   00026    0.4392  -31349.3889  0.2978 
   00027    0.4342  -31460.6376  0.2996 
   00028    0.4385  -31497.0666  0.3006 
   00029    0.4300  -31557.2753  0.3021 
   00030    0.4326  -31701.4023  0.2992 
   00031    0.4245  -31768.9789  0.3012 
   00032    0.4333  -31853.2962  0.3002 
   00033    0.4284  -31866.2421  0.2998 
   00034    0.4300  -31901.6095  0.3019 
   00035    0.4391  -32046.4523  0.3000 
   00036    0.4291  -32097.8183  0.2983 
   00037    0.4379  -32158.4480  0.2999 
   00038    0.4307  -32196.6948  0.3006 
   00039    0.4279  -32204.9597  0.3013 
   00040    0.4297  -32199.5973  0.3039 
   00041    0.4326  -32274.6333  0.3036 
   00042    0.4290  -32337.8956  0.3034 
   00043    0.4241  -32483.1358  0.3036 
   00044    0.4230  -32494.5727  0.3059 
   00045    0.4221  -32420.2180  0.3081 
   00046    0.4218  -32484.1775  0.3108 
   00047    0.4252  -32569.6069  0.3156 
   00048    0.4259  -32618.1670  0.3135 
   00049    0.4256  -32552.0862  0.3117 
   00050    0.4237  -32654.4345  0.3115 
