#=====================================================
# File created:        Sat-09-Mar-2024-at-07-12-06PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.761196
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2534.7859  0.2640 
   00001    0.6724   -3775.2236  0.2647 
   00002    0.6160   -4524.0315  0.2666 
   00003    0.5788   -5071.3021  0.2580 
   00004    0.5436   -5541.8761  0.2567 
   00005    0.5408   -5925.3636  0.2569 
   00006    0.5112   -6210.1268  0.2661 
   00007    0.4976   -6380.2433  0.2652 
   00008    0.4956   -6585.5615  0.2716 
   00009    0.4792   -6795.6290  0.2763 
   00010    0.4856   -6881.8968  0.2849 
   00011    0.4764   -6986.1613  0.2859 
   00012    0.4800   -7093.9668  0.2867 
   00013    0.4780   -7184.0551  0.2799 
   00014    0.4704   -7301.6109  0.2795 
   00015    0.4528   -7373.5141  0.2828 
   00016    0.4540   -7421.6693  0.2802 
   00017    0.4536   -7490.1011  0.2828 
   00018    0.4452   -7569.4610  0.2772 
   00019    0.4528   -7565.5082  0.2845 
   00020    0.4496   -7611.5978  0.2844 
   00021    0.4484   -7645.6316  0.2911 
   00022    0.4428   -7671.7947  0.2895 
   00023    0.4564   -7708.1503  0.2841 
   00024    0.4276   -7779.1289  0.2826 
   00025    0.4444   -7803.8725  0.2875 
   00026    0.4384   -7753.7068  0.2942 
   00027    0.4428   -7781.9822  0.2942 
   00028    0.4360   -7811.9157  0.3018 
   00029    0.4280   -7860.1090  0.2985 
   00030    0.4452   -7839.2674  0.2907 
   00031    0.4484   -7836.9662  0.2848 
   00032    0.4320   -7868.9090  0.2948 
   00033    0.4440   -7922.9645  0.2946 
   00034    0.4424   -7926.1809  0.2989 
   00035    0.4320   -7919.1393  0.3007 
   00036    0.4448   -7940.8412  0.2969 
   00037    0.4396   -7931.4008  0.2911 
   00038    0.4224   -7878.1833  0.2947 
   00039    0.4480   -7940.6797  0.2943 
   00040    0.4296   -7965.0283  0.2912 
   00041    0.4304   -7988.5540  0.2919 
   00042    0.4264   -7972.2857  0.2899 
   00043    0.4292   -7986.8563  0.2930 
   00044    0.4368   -8020.9944  0.2922 
   00045    0.4356   -8021.3697  0.2928 
   00046    0.4332   -8041.4663  0.2943 
   00047    0.4228   -8071.3756  0.2823 
   00048    0.4324   -8082.5617  0.2798 
   00049    0.4356   -8063.2676  0.2843 
   00050    0.4292   -8109.1857  0.2836 
