#=====================================================
# File created:        Tue-12-Mar-2024-at-05-43-52PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.765722
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2485.4456  0.2559 
   00001    0.6996   -3744.5639  0.2598 
   00002    0.6148   -4486.4375  0.2686 
   00003    0.5840   -5133.5743  0.2692 
   00004    0.5656   -5560.0750  0.2703 
   00005    0.5364   -5897.4847  0.2650 
   00006    0.5260   -6174.8697  0.2693 
   00007    0.5308   -6419.6108  0.2838 
   00008    0.4948   -6566.6240  0.2875 
   00009    0.4772   -6703.9923  0.2876 
   00010    0.4900   -6846.1975  0.2847 
   00011    0.4832   -6955.2022  0.2784 
   00012    0.4716   -7063.4175  0.2764 
   00013    0.4656   -7191.1246  0.2802 
   00014    0.4660   -7276.9524  0.2820 
   00015    0.4596   -7377.5935  0.2793 
   00016    0.4564   -7457.4678  0.2788 
   00017    0.4672   -7496.8270  0.2769 
   00018    0.4576   -7532.8769  0.2775 
   00019    0.4304   -7516.3556  0.2775 
   00020    0.4504   -7625.2039  0.2761 
   00021    0.4368   -7694.9610  0.2724 
   00022    0.4468   -7747.0723  0.2769 
   00023    0.4496   -7721.3277  0.2774 
   00024    0.4296   -7737.8031  0.2789 
   00025    0.4584   -7787.1687  0.2762 
   00026    0.4500   -7836.5159  0.2774 
   00027    0.4304   -7830.6799  0.2840 
   00028    0.4340   -7838.4432  0.2912 
   00029    0.4360   -7846.0737  0.2879 
   00030    0.4188   -7913.7734  0.2851 
   00031    0.4240   -7926.1235  0.2885 
   00032    0.4276   -7913.3162  0.2894 
   00033    0.4188   -7908.1695  0.2894 
   00034    0.4600   -7940.2439  0.2924 
   00035    0.4260   -7919.9882  0.2915 
   00036    0.4336   -7987.4544  0.2912 
   00037    0.4296   -8027.7418  0.2904 
   00038    0.4308   -7996.2771  0.2983 
   00039    0.4252   -7976.7003  0.2974 
   00040    0.4440   -8036.6894  0.2912 
   00041    0.4424   -8015.2410  0.2947 
   00042    0.4476   -8065.6862  0.3017 
   00043    0.4368   -8061.7144  0.2957 
   00044    0.4320   -8022.4436  0.2956 
   00045    0.4380   -8063.5957  0.2917 
   00046    0.4280   -8083.1168  0.2817 
   00047    0.4324   -8096.8870  0.2826 
   00048    0.4416   -8096.1190  0.2899 
   00049    0.4320   -8114.5471  0.2923 
   00050    0.4188   -8107.2957  0.2890 
