#=====================================================
# File created:        Sat-09-Mar-2024-at-05-42-12PM
# Size of lattice:     150x150
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        8.013739
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000  -21853.8344  0.2573 
   00001    0.6823  -33055.7017  0.2571 
   00002    0.6274  -40270.6892  0.2597 
   00003    0.5879  -45365.6685  0.2598 
   00004    0.5592  -49365.0992  0.2590 
   00005    0.5358  -52554.2659  0.2616 
   00006    0.5223  -54988.7004  0.2596 
   00007    0.5138  -57016.9400  0.2591 
   00008    0.4976  -58872.0972  0.2604 
   00009    0.4880  -60354.7626  0.2606 
   00010    0.4883  -61672.2349  0.2621 
   00011    0.4753  -62910.6298  0.2603 
   00012    0.4755  -63724.2268  0.2620 
   00013    0.4678  -64545.9132  0.2604 
   00014    0.4671  -65307.9669  0.2604 
   00015    0.4674  -65964.6412  0.2636 
   00016    0.4511  -66524.8306  0.2656 
   00017    0.4500  -67146.2880  0.2634 
   00018    0.4562  -67487.6242  0.2633 
   00019    0.4482  -67951.6123  0.2638 
   00020    0.4507  -68319.4767  0.2644 
   00021    0.4429  -68680.4253  0.2675 
   00022    0.4415  -69080.4519  0.2681 
   00023    0.4463  -69372.5966  0.2691 
   00024    0.4437  -69709.4383  0.2685 
   00025    0.4395  -69954.0361  0.2702 
   00026    0.4410  -70238.7773  0.2693 
   00027    0.4406  -70521.8013  0.2708 
   00028    0.4373  -70695.0949  0.2713 
   00029    0.4337  -70892.8848  0.2703 
   00030    0.4306  -71137.5932  0.2709 
   00031    0.4368  -71220.5206  0.2726 
   00032    0.4269  -71358.2085  0.2727 
   00033    0.4334  -71492.5845  0.2753 
   00034    0.4322  -71660.3577  0.2742 
   00035    0.4258  -71727.8831  0.2745 
   00036    0.4318  -71783.9039  0.2727 
   00037    0.4315  -71997.6435  0.2744 
   00038    0.4291  -72090.2618  0.2743 
   00039    0.4300  -72019.5417  0.2745 
   00040    0.4291  -72274.8009  0.2734 
   00041    0.4308  -72391.4093  0.2727 
   00042    0.4337  -72421.8794  0.2766 
   00043    0.4304  -72548.8192  0.2783 
   00044    0.4219  -72704.1094  0.2779 
   00045    0.4289  -72688.6633  0.2799 
   00046    0.4270  -72822.7468  0.2819 
   00047    0.4313  -72855.8471  0.2806 
   00048    0.4285  -72883.4414  0.2815 
   00049    0.4263  -72962.0330  0.2813 
   00050    0.4296  -72953.4834  0.2821 
