#=====================================================
# File created:        Mon-11-Mar-2024-at-01-28-39PM
# Size of lattice:     50x50
# Number of MC steps:  150
# Reduced temperature: 0.500
# Run time (s):        4.645021
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2425.2298  0.2585 
   00001    0.6756   -3623.9531  0.2606 
   00002    0.6240   -4482.2082  0.2667 
   00003    0.6016   -5049.5312  0.2638 
   00004    0.5668   -5464.0220  0.2673 
   00005    0.5396   -5862.3220  0.2637 
   00006    0.5056   -6171.9516  0.2725 
   00007    0.5084   -6402.3928  0.2856 
   00008    0.4928   -6549.4277  0.2949 
   00009    0.5004   -6699.5921  0.3017 
   00010    0.4760   -6815.4287  0.3001 
   00011    0.4840   -6959.5695  0.2983 
   00012    0.4836   -6992.3578  0.3052 
   00013    0.4684   -7029.7372  0.3110 
   00014    0.4684   -7125.8916  0.3174 
   00015    0.4524   -7243.0124  0.3134 
   00016    0.4660   -7268.4972  0.3089 
   00017    0.4720   -7280.0484  0.3139 
   00018    0.4628   -7329.1942  0.3151 
   00019    0.4576   -7357.5394  0.3143 
   00020    0.4492   -7409.0223  0.3162 
   00021    0.4512   -7489.5986  0.3177 
   00022    0.4540   -7547.9444  0.3163 
   00023    0.4528   -7577.5076  0.3110 
   00024    0.4572   -7640.1057  0.3156 
   00025    0.4608   -7690.3737  0.3272 
   00026    0.4428   -7706.0310  0.3237 
   00027    0.4524   -7706.2114  0.3243 
   00028    0.4436   -7780.6009  0.3181 
   00029    0.4236   -7791.5766  0.3198 
   00030    0.4492   -7842.3189  0.3142 
   00031    0.4460   -7856.9666  0.3140 
   00032    0.4448   -7894.8298  0.3184 
   00033    0.4348   -7865.1771  0.3146 
   00034    0.4292   -7851.4505  0.3136 
   00035    0.4480   -7869.2870  0.3159 
   00036    0.4496   -7867.4742  0.3163 
   00037    0.4348   -7845.9066  0.3164 
   00038    0.4120   -7880.2029  0.3195 
   00039    0.4368   -7891.1872  0.3204 
   00040    0.4348   -7909.2141  0.3186 
   00041    0.4384   -7920.3413  0.3178 
   00042    0.4364   -7928.4292  0.3186 
   00043    0.4284   -8005.3149  0.3180 
   00044    0.4268   -7988.9381  0.3199 
   00045    0.4384   -8012.8441  0.3261 
   00046    0.4140   -8033.8047  0.3232 
   00047    0.4228   -7991.6633  0.3282 
   00048    0.4212   -8012.1519  0.3233 
   00049    0.4264   -7994.7341  0.3237 
   00050    0.4288   -8001.9022  0.3234 
   00051    0.4308   -8065.3157  0.3220 
   00052    0.4312   -8042.9556  0.3277 
   00053    0.4164   -8075.0754  0.3298 
   00054    0.4176   -8081.0310  0.3265 
   00055    0.4284   -8009.8356  0.3310 
   00056    0.4288   -8053.7247  0.3368 
   00057    0.4400   -8090.9209  0.3357 
