#=====================================================
# File created:        Tue-12-Mar-2024-at-04-02-09PM
# Size of lattice:     50x50
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        1.550363
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2437.6670  0.2655 
   00001    0.6872   -3641.6718  0.2878 
   00002    0.6320   -4457.2535  0.2827 
   00003    0.5836   -5001.9132  0.2868 
   00004    0.5620   -5471.0189  0.2969 
   00005    0.5444   -5828.2557  0.3046 
   00006    0.5284   -6103.3660  0.3144 
   00007    0.5192   -6331.2254  0.3134 
   00008    0.4988   -6546.9364  0.3221 
   00009    0.4776   -6749.4462  0.3271 
   00010    0.4908   -6840.5734  0.3316 
   00011    0.4732   -6987.0399  0.3371 
   00012    0.4740   -7096.2774  0.3366 
   00013    0.4824   -7180.5190  0.3345 
   00014    0.4556   -7291.2408  0.3379 
   00015    0.4548   -7387.0485  0.3382 
   00016    0.4564   -7498.0787  0.3437 
   00017    0.4652   -7534.0088  0.3409 
   00018    0.4508   -7577.1159  0.3448 
   00019    0.4604   -7585.3957  0.3485 
   00020    0.4472   -7601.5432  0.3414 
   00021    0.4776   -7675.4710  0.3406 
   00022    0.4392   -7749.6751  0.3483 
   00023    0.4464   -7695.4944  0.3426 
   00024    0.4360   -7742.9987  0.3457 
   00025    0.4156   -7739.2240  0.3497 
   00026    0.4284   -7721.4609  0.3430 
   00027    0.4372   -7777.6115  0.3495 
   00028    0.4448   -7845.3645  0.3524 
   00029    0.4324   -7836.2557  0.3520 
   00030    0.4396   -7838.3282  0.3478 
   00031    0.4184   -7873.3049  0.3500 
   00032    0.4384   -7911.0636  0.3438 
   00033    0.4492   -7896.6587  0.3382 
   00034    0.4264   -7873.0100  0.3411 
   00035    0.4444   -7895.2576  0.3454 
   00036    0.4280   -7921.1364  0.3344 
   00037    0.4320   -7899.3922  0.3272 
   00038    0.4428   -7907.9911  0.3249 
   00039    0.4404   -7928.0546  0.3354 
   00040    0.4104   -7969.4139  0.3372 
   00041    0.4496   -8003.5321  0.3354 
   00042    0.4176   -8024.5118  0.3382 
   00043    0.4244   -8032.4001  0.3419 
   00044    0.4236   -8064.2462  0.3388 
   00045    0.4216   -8067.2721  0.3379 
   00046    0.4244   -8016.6173  0.3395 
   00047    0.4244   -8041.5333  0.3398 
   00048    0.4276   -8005.1952  0.3364 
   00049    0.4424   -7997.6078  0.3412 
   00050    0.4188   -8010.7102  0.3434 
