LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.404, Time: 1.487729 s
         2898209 function calls (2814732 primitive calls) in 3.517 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       51    0.857    0.017    0.859    0.017 LebwohlLasher_numba.py:186(get_order)
       50    0.443    0.009    0.638    0.013 LebwohlLasher_numba.py:214(MC_step)
     2226    0.264    0.000    0.287    0.000 ffi.py:188(__call__)
        2    0.136    0.068    0.136    0.068 {built-in method _ctypes.dlopen}
    94407    0.134    0.000    0.134    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
      702    0.112    0.000    0.112    0.000 {method 'read' of '_io.BufferedReader' objects}
    82/81    0.111    0.001    0.113    0.001 {built-in method _imp.create_dynamic}
      702    0.066    0.000    0.066    0.000 {built-in method marshal.loads}
      702    0.058    0.000    0.058    0.000 {built-in method io.open_code}
   250000    0.055    0.000    0.055    0.000 LebwohlLasher_numba.py:133(one_energy)
     7306    0.051    0.000    0.084    0.000 inspect.py:744(cleandoc)
3028/2919    0.028    0.000    0.338    0.000 {built-in method builtins.__build_class__}
     8613    0.028    0.000    0.028    0.000 {built-in method __new__ of type object at 0x102eff040}
      187    0.026    0.000    0.026    0.000 {built-in method posix.getcwd}
   306446    0.025    0.000    0.034    0.000 {built-in method builtins.isinstance}
35290/5916    0.024    0.000    0.033    0.000 ir.py:317(_rec_list_vars)
     3036    0.020    0.000    0.020    0.000 {built-in method posix.stat}
      333    0.020    0.000    0.020    0.000 ir.py:908(__init__)
      458    0.020    0.000    0.020    0.000 {built-in method builtins.dir}
      343    0.020    0.000    0.021    0.000 {built-in method io.open}
     9938    0.020    0.000    0.020    0.000 {method 'search' of 're.Pattern' objects}
102872/102793    0.016    0.000    0.020    0.000 {built-in method builtins.getattr}
    82/69    0.016    0.000    0.033    0.000 {built-in method _imp.exec_dynamic}
   109023    0.014    0.000    0.014    0.000 {method 'startswith' of 'str' objects}
        1    0.014    0.014    0.014    0.014 arraydecl.py:1(<module>)
       86    0.013    0.000    0.013    0.000 {built-in method posix.listdir}
      223    0.012    0.000    0.037    0.000 artist.py:1517(get_setters)
  721/282    0.011    0.000    0.028    0.000 sre_parse.py:494(_parse)
195083/192882    0.011    0.000    0.012    0.000 {built-in method builtins.len}
      223    0.010    0.000    0.018    0.000 artist.py:1453(<listcomp>)
      346    0.009    0.000    0.010    0.000 sre_compile.py:292(_optimize_charset)
       50    0.009    0.000    0.015    0.000 enum.py:180(__new__)
      223    0.009    0.000    0.056    0.000 artist.py:1442(get_aliases)
     4252    0.009    0.000    0.120    0.000 artist.py:1470(get_valid_values)
     1122    0.009    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
    58776    0.008    0.000    0.009    0.000 {built-in method builtins.min}
25674/25628    0.008    0.000    0.013    0.000 {method 'join' of 'str' objects}
27669/26799    0.008    0.000    0.012    0.000 abstract.py:121(__hash__)
15696/9236    0.008    0.000    0.024    0.000 {method 'format' of 'str' objects}
       51    0.008    0.000    0.008    0.000 LebwohlLasher_numba.py:168(all_energy)
    78182    0.007    0.000    0.007    0.000 {method 'lstrip' of 'str' objects}
7056/6055    0.007    0.000    1.153    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
