LebwohlLasher_vectorization.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.279, Time: 0.956658 s
         1601606 function calls (1579849 primitive calls) in 5.274 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    3.504    1.752    3.688    1.844 {built-in method matplotlib.backends._macosx.show}
   250000    0.786    0.000    0.786    0.000 LebwohlLasher_vectorization.py:161(one_energy)
       50    0.154    0.003    0.945    0.019 LebwohlLasher_vectorization.py:241(MC_step)
        2    0.074    0.037    0.123    0.061 backend_bases.py:2672(create_with_canvas)
       48    0.068    0.001    0.068    0.001 {built-in method _imp.create_dynamic}
      296    0.049    0.000    0.049    0.000 {method 'read' of '_io.BufferedReader' objects}
     7308    0.032    0.000    0.052    0.000 inspect.py:744(cleandoc)
      296    0.027    0.000    0.027    0.000 {built-in method io.open_code}
      103    0.023    0.000    0.023    0.000 {method 'set_message' of '_macosx.NavigationToolbar2' objects}
        2    0.022    0.011    0.047    0.024 backend_macosx.py:144(__init__)
        2    0.022    0.011    0.022    0.011 {function FigureManagerMac.destroy at 0x117b2c790}
      296    0.019    0.000    0.019    0.000 {built-in method marshal.loads}
        2    0.015    0.007    0.015    0.007 {built-in method set_icon}
     9934    0.012    0.000    0.012    0.000 {method 'search' of 're.Pattern' objects}
      448    0.012    0.000    0.012    0.000 {built-in method builtins.dir}
     1460    0.010    0.000    0.010    0.000 {built-in method posix.stat}
        2    0.010    0.005    0.010    0.005 backend_macosx.py:112(__init__)
        2    0.009    0.005    0.010    0.005 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       90    0.009    0.000    0.009    0.000 {built-in method posix.getcwd}
1142/1037    0.008    0.000    0.185    0.000 {built-in method builtins.__build_class__}
        2    0.008    0.004    0.008    0.004 {method 'flush_events' of '_macosx.FigureCanvas' objects}
      223    0.007    0.000    0.023    0.000 artist.py:1517(get_setters)
    75122    0.007    0.000    0.008    0.000 {built-in method builtins.getattr}
    94404    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
    48/38    0.007    0.000    0.014    0.000 {built-in method _imp.exec_dynamic}
      223    0.006    0.000    0.011    0.000 artist.py:1453(<listcomp>)
     5096    0.006    0.000    0.009    0.000 __init__.py:132(check_shape)
