LebwohlLasher: Size: 50, Steps: 50, T*: 0.500: Order: 0.340, Time: 0.517040 s
         1003067 function calls (988177 primitive calls) in 0.967 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.514    0.514    0.967    0.967 run_vectorization_cython.py:1(<module>)
      292    0.042    0.000    0.042    0.000 {method 'read' of '_io.BufferedReader' objects}
    46/44    0.039    0.001    0.041    0.001 {built-in method _imp.create_dynamic}
     7306    0.033    0.000    0.054    0.000 inspect.py:744(cleandoc)
      292    0.029    0.000    0.029    0.000 {built-in method marshal.loads}
      292    0.028    0.000    0.028    0.000 {built-in method io.open_code}
     9934    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
      447    0.013    0.000    0.013    0.000 {built-in method builtins.dir}
1128/1023    0.009    0.000    0.189    0.000 {built-in method builtins.__build_class__}
     1433    0.008    0.000    0.008    0.000 {built-in method posix.stat}
      223    0.008    0.000    0.024    0.000 artist.py:1517(get_setters)
    93615    0.007    0.000    0.007    0.000 {method 'startswith' of 'str' objects}
    67594    0.007    0.000    0.007    0.000 {built-in method builtins.getattr}
      223    0.006    0.000    0.012    0.000 artist.py:1453(<listcomp>)
      223    0.006    0.000    0.037    0.000 artist.py:1442(get_aliases)
     4252    0.006    0.000    0.078    0.000 artist.py:1470(get_valid_values)
    54861    0.005    0.000    0.005    0.000 {built-in method builtins.min}
  499/215    0.005    0.000    0.012    0.000 sre_parse.py:494(_parse)
147164/146021    0.005    0.000    0.005    0.000 {built-in method builtins.len}
    77848    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
       36    0.004    0.000    0.004    0.000 {built-in method posix.listdir}
     6024    0.004    0.000    0.007    0.000 inspect.py:2637(__init__)
    63713    0.004    0.000    0.005    0.000 {built-in method builtins.isinstance}
       30    0.004    0.000    0.015    0.000 __init__.py:847(_rc_params_in_file)
     8798    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
16062/16049    0.003    0.000    0.004    0.000 {method 'join' of 'str' objects}
     7315    0.003    0.000    0.051    0.000 inspect.py:725(getdoc)
      875    0.003    0.000    0.004    0.000 inspect.py:2920(__init__)
       30    0.003    0.000    0.005    0.000 enum.py:180(__new__)
     7318    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
      636    0.003    0.000    0.008    0.000 inspect.py:2280(_signature_from_function)
     46/1    0.003    0.000    0.448    0.448 {built-in method _imp.exec_dynamic}
     6802    0.003    0.000    0.025    0.000 re.py:288(_compile)
 1108/210    0.002    0.000    0.005    0.000 sre_compile.py:87(_compile)
     4252    0.002    0.000    0.005    0.000 artist.py:1555(aliased_name)
      117    0.002    0.000    0.095    0.001 artist.py:1598(pprint_setters)
     6477    0.002    0.000    0.003    0.000 enum.py:359(__call__)
      603    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
  714/650    0.002    0.000    0.012    0.000 inspect.py:2375(_signature_from_callable)
    10627    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
        1    0.002    0.002    0.002    0.002 _cm_listed.py:1(<module>)
     2883    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x100c43040}
     5768    0.002    0.000    0.022    0.000 re.py:197(search)
     3166    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    33829    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
      353    0.001    0.000    0.024    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       32    0.001    0.000    0.001    0.000 {built-in method io.open}
      195    0.001    0.000    0.001    0.000 colors.py:1110(<listcomp>)
 1325/431    0.001    0.000    0.002    0.000 sre_parse.py:175(getwidth)
     6241    0.001    0.000    0.001    0.000 sre_parse.py:234(__next)
 1602/214    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      105    0.001    0.000    0.005    0.000 artist.py:170(<listcomp>)
     3166    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       53    0.001    0.000    0.002    0.000 {built-in method builtins.eval}
      690    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
     7749    0.001    0.000    0.002    0.000 sre_parse.py:165(__getitem__)
       89    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
     4427    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      165    0.001    0.000    0.001    0.000 sre_compile.py:292(_optimize_charset)
     3409    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      292    0.001    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:950(get_code)
    31528    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
      204    0.001    0.000    0.001    0.000 numeric.py:1129(roll)
      764    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      584    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     2674    0.001    0.000    0.002    0.000 cbook.py:405(_strip_comment)
      292    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      569    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
       35    0.001    0.000    0.002    0.000 __init__.py:328(namedtuple)
        1    0.001    0.001    0.001    0.001 {built-in method utcfromtimestamp}
    10657    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      160    0.001    0.000    0.001    0.000 shape_base.py:612(column_stack)
      292    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     5190    0.001    0.000    0.002    0.000 sre_parse.py:255(get)
      797    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
    363/1    0.001    0.000    0.449    0.449 <frozen importlib._bootstrap>:1022(_find_and_load)
      797    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      342    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     6078    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     2136    0.001    0.000    0.001    0.000 typing.py:986(__setattr__)
       31    0.001    0.000    0.001    0.000 function_base.py:24(linspace)
       37    0.001    0.000    0.566    0.015 __init__.py:1(<module>)
      351    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
    359/1    0.001    0.000    0.449    0.449 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    342/1    0.001    0.000    0.449    0.449 <frozen importlib._bootstrap>:664(_load_unlocked)
    300/1    0.001    0.000    0.967    0.967 {built-in method builtins.exec}
     6472    0.001    0.000    0.001    0.000 enum.py:678(__new__)
  460/210    0.001    0.000    0.012    0.000 sre_parse.py:436(_parse_sub)
      797    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      472    0.001    0.000    0.001    0.000 typing.py:146(_type_check)
     9242    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      713    0.001    0.000    0.001    0.000 inspect.py:612(unwrap)
      636    0.001    0.000    0.001    0.000 inspect.py:66(get_annotations)
     5355    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
       28    0.001    0.000    0.001    0.000 util.py:182(_collapse_string_to_ranges)
       61    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      169    0.001    0.000    0.001    0.000 colors.py:310(_to_rgba_no_colorcycle)
      183    0.000    0.000    0.000    0.000 typing.py:1272(_value_and_type_iter)
      324    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
     2771    0.000    0.000    0.001    0.000 inspect.py:2969(<genexpr>)
       36    0.000    0.000    0.001    0.000 <frozen zipimport>:64(__init__)
      409    0.000    0.000    0.001    0.000 copy.py:66(copy)
   480/73    0.000    0.000    0.396    0.005 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     9152    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     4564    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
 3538/834    0.000    0.000    0.001    0.000 __init__.py:353(recursive_subclasses)
        1    0.000    0.000    0.001    0.001 decoder.py:343(raw_decode)
