Usage: python LebwohlLasher_vectorization_numba.py <ITERATIONS> <SIZE> <TEMPERATURE> <PLOTFLAG>
         1221555 function calls (1203393 primitive calls) in 1.157 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.169    0.085    0.169    0.085 {built-in method _ctypes.dlopen}
    57/56    0.137    0.002    0.139    0.002 {built-in method _imp.create_dynamic}
      525    0.100    0.000    0.100    0.000 {method 'read' of '_io.BufferedReader' objects}
     7306    0.051    0.000    0.085    0.000 inspect.py:744(cleandoc)
      525    0.050    0.000    0.050    0.000 {built-in method marshal.loads}
      525    0.040    0.000    0.040    0.000 {built-in method io.open_code}
2484/2375    0.024    0.000    0.329    0.000 {built-in method builtins.__build_class__}
      345    0.023    0.000    0.025    0.000 ffi.py:188(__call__)
      451    0.020    0.000    0.020    0.000 {built-in method builtins.dir}
     9938    0.020    0.000    0.020    0.000 {method 'search' of 're.Pattern' objects}
     2354    0.018    0.000    0.018    0.000 {built-in method posix.stat}
    57/47    0.017    0.000    0.033    0.001 {built-in method _imp.exec_dynamic}
     3736    0.012    0.000    0.013    0.000 {built-in method __new__ of type object at 0x102a43040}
    75256    0.012    0.000    0.013    0.000 {built-in method builtins.getattr}
      223    0.012    0.000    0.038    0.000 artist.py:1517(get_setters)
    97241    0.012    0.000    0.012    0.000 {method 'startswith' of 'str' objects}
  647/250    0.010    0.000    0.024    0.000 sre_parse.py:494(_parse)
      223    0.010    0.000    0.018    0.000 artist.py:1453(<listcomp>)
       65    0.009    0.000    0.009    0.000 {built-in method posix.listdir}
      300    0.009    0.000    0.010    0.000 sre_compile.py:292(_optimize_charset)
      223    0.009    0.000    0.058    0.000 artist.py:1442(get_aliases)
     4252    0.009    0.000    0.122    0.000 artist.py:1470(get_valid_values)
    58319    0.008    0.000    0.008    0.000 {built-in method builtins.min}
151782/150367    0.008    0.000    0.008    0.000 {built-in method builtins.len}
18480/18467    0.007    0.000    0.008    0.000 {method 'join' of 'str' objects}
    72547    0.007    0.000    0.009    0.000 {built-in method builtins.isinstance}
